ENTRADA,PATRIMÔNIO,STATUS,SERIAL,CATEGORIA,FABRICANTE,MODELO,LOCAL,SAÍDA,OBSERVAÇÃO
,454,À testar,68-3756-02 A1+ CMMBE00ARB,SWITCH,Cisco,N2K-C2248TP-1GE V04,Estoque,,
,455,À testar,68-3601-05 AO* COMJ200ARB,SWITCH,Cisco,N2K-C2248TP-1GE V02,Estoque,,
,456,Desconhecido,,,,,,,
,457,Desconhecido,,,,,,,
,458,Desconhecido,,,,,,,
,459,Desconhecido,,,,,,,
,460,Desconhecido,,,,,,,
,461,Desconhecido,,,,,,,
,462,Desconhecido,,,,,,,
,463,Desconhecido,,,,,,,
,464,Desconhecido,,,,,,,
,465,Desconhecido,,,,,,,
,466,Desconhecido,,,,,,,
,467,Desconhecido,,,,,,,
,468,Desconhecido,,,,,,,
